loss,mae,mse,val_loss,val_mae,val_mse
115498.53173828125,245.2896728515625,115498.53125,110428.26796875,245.0562286376953,110428.265625
113702.774609375,243.03562927246094,113702.7734375,109322.367578125,241.43902587890625,109322.3671875
115718.57109375,244.6218719482422,115718.578125,107546.861328125,239.4657440185547,107546.8671875
112731.55556640626,242.7281494140625,112731.53125,108155.0234375,239.40060424804688,108155.0234375
114565.13037109375,243.64637756347656,114565.109375,107023.147265625,239.42791748046875,107023.1328125
114219.75087890626,242.98606872558594,114219.734375,112079.791796875,244.3876953125,112079.796875
115243.21943359375,243.64622497558594,115243.203125,107013.159765625,238.3209991455078,107013.1640625
115541.5109375,244.0709228515625,115541.4921875,108266.104296875,239.8595428466797,108266.1015625
115093.46884765624,242.81155395507812,115093.4765625,109905.78359375,241.5104217529297,109905.78125
114961.00302734374,243.26116943359375,114961.0,108659.272265625,241.95362854003906,108659.2734375
112625.74892578126,240.92958068847656,112625.75,106471.794921875,237.9541473388672,106471.7890625
112518.03759765625,240.56842041015625,112518.03125,106078.01328125,236.42469787597656,106078.0
113498.03251953125,241.26174926757812,113498.0234375,105902.782421875,234.27182006835938,105902.78125
111375.23330078126,239.1593780517578,111375.2421875,105317.765234375,234.2301788330078,105317.765625
111810.46044921875,238.99537658691406,111810.4609375,104680.35,233.36952209472656,104680.34375
112401.09140625,240.02029418945312,112401.1015625,105645.612109375,236.13714599609375,105645.609375
110446.53837890625,238.03492736816406,110446.5390625,104551.230859375,233.35557556152344,104551.2421875
112804.76826171875,239.37069702148438,112804.7890625,105008.64140625,235.66334533691406,105008.65625
111136.4599609375,238.10494995117188,111136.4609375,106346.325,235.7653045654297,106346.328125
112623.0828125,239.57785034179688,112623.1015625,105640.340234375,234.81680297851562,105640.34375
111424.25126953125,238.0717315673828,111424.2265625,109470.9671875,242.1554718017578,109470.9765625
109942.72822265625,236.72735595703125,109942.7109375,104553.40859375,233.88851928710938,104553.40625
109929.11796875,236.43173217773438,109929.1171875,104110.561328125,232.6420440673828,104110.5625
111217.7763671875,236.5646514892578,111217.78125,105312.719921875,233.2489776611328,105312.7265625
109003.36923828124,235.07440185546875,109003.34375,103494.743359375,230.1604766845703,103494.71875
107840.271484375,234.07855224609375,107840.296875,110692.28359375,241.91384887695312,110692.2890625
111544.0216796875,237.4718780517578,111544.0,102927.08671875,230.46347045898438,102927.0859375
108854.70400390626,234.6941680908203,108854.6953125,103754.3859375,232.18479919433594,103754.40625
110783.78681640625,235.9676971435547,110783.7578125,102481.448828125,230.0208282470703,102481.4453125
110527.0080078125,235.68142700195312,110527.015625,105360.003125,235.33087158203125,105360.0
111480.96552734375,235.9216766357422,111480.9609375,102669.8078125,228.84837341308594,102669.8125
109267.19501953125,233.91258239746094,109267.1875,103260.327734375,230.731201171875,103260.3203125
108968.9947265625,233.96153259277344,108969.0078125,102794.806640625,230.08795166015625,102794.8046875
109597.989453125,233.73953247070312,109598.0,104628.024609375,234.52139282226562,104628.03125
109867.940625,234.77374267578125,109867.9296875,102994.016015625,228.0520782470703,102994.015625
109309.62236328125,233.4258575439453,109309.6171875,103696.691015625,228.637451171875,103696.6953125
108227.953125,232.54257202148438,108227.9453125,102216.999609375,226.9712677001953,102217.0
108595.0427734375,232.5031280517578,108595.0625,101652.775,227.16494750976562,101652.765625
110317.32060546875,233.31427001953125,110317.3125,102118.9046875,228.20025634765625,102118.90625
108541.7775390625,232.517578125,108541.7734375,105256.056640625,235.29248046875,105256.046875
114584.5376953125,237.646728515625,114584.546875,101804.401953125,227.1928253173828,101804.40625
108515.51005859375,232.01602172851562,108515.4921875,106054.502734375,236.90972900390625,106054.5
112016.1345703125,234.4298553466797,112016.125,116643.280859375,253.22544860839844,116643.2734375
110030.97255859376,232.6790008544922,110030.9765625,101657.194140625,225.7572479248047,101657.1953125
